#Expanded function
#Calculated using Holo_Multipol
#Intensity    Theta angle    Phi angle
0.35355 1031.32 2250.16
0.367316 1031.32 2625.19
0.374537 1031.32 3000.22
0.388833 1031.32 3375.24
0.362574 1031.32 3750.27
0.393073 1031.32 4125.3
0.34619 1031.32 4500.32
0.369034 1031.32 4875.35
0.334255 1031.32 5250.38
0.348956 1031.32 5625.4
0.356703 1031.32 6000.43
0.352387 1031.32 6375.46
0.355459 1031.32 6750.48
0.363341 1031.32 7125.51
0.330371 1031.32 7500.54
0.35374 1031.32 7875.57
0.324481 1031.32 8250.59
0.354222 1031.32 8625.62
0.361864 1031.32 9000.65
0.376689 1031.32 9375.67
0.367239 1031.32 9750.7
0.396416 1031.32 10125.7
0.357436 1031.32 10500.8
0.386994 1031.32 10875.8
0.354848 1031.32 11250.8
0.364112 1031.32 11625.8
0.377205 1031.32 12000.9
0.387278 1031.32 12375.9
0.363233 1031.32 12750.9
0.392644 1031.32 13125.9
0.345411 1031.32 13501
0.367239 1031.32 13876
0.336288 1031.32 14251
0.345766 1031.32 14626
0.358684 1031.32 15001.1
0.351574 1031.32 15376.1
0.353828 1031.32 15751.1
0.36406 1031.32 16126.2
0.329315 1031.32 16501.2
0.352399 1031.32 16876.2
0.325882 1031.32 17251.2
0.351203 1031.32 17626.3
0.364566 1031.32 18001.3
0.375914 1031.32 18376.3
0.367369 1031.32 18751.3
0.396444 1031.32 19126.4
0.356452 1031.32 19501.4
0.38669 1031.32 19876.4
0.35655 1031.32 20251.5
0.316346 1145.92 0
0.34563 1145.92 338.139
0.342982 1145.92 676.278
0.309217 1145.92 1014.42
0.306564 1145.92 1352.56
0.310714 1145.92 1690.7
0.299751 1145.92 2028.83
0.273227 1145.92 2366.97
0.281195 1145.92 2705.11
0.271902 1145.92 3043.25
0.262113 1145.92 3381.39
0.262757 1145.92 3719.53
0.291467 1145.92 4057.67
0.301967 1145.92 4395.81
0.284817 1145.92 4733.95
0.296348 1145.92 5072.09
0.320417 1145.92 5410.22
0.32493 1145.92 5748.36
0.306622 1145.92 6086.5
0.321809 1145.92 6424.64
0.310181 1145.92 6762.78
0.295291 1145.92 7100.92
0.296283 1145.92 7439.06
0.313122 1145.92 7777.2
0.308764 1145.92 8115.34
0.282255 1145.92 8453.48
0.277402 1145.92 8791.62
0.275908 1145.92 9129.75
0.279059 1145.92 9467.89
0.270711 1145.92 9806.03
0.280026 1145.92 10144.2
0.283477 1145.92 10482.3
0.293582 1145.92 10820.4
0.313584 1145.92 11158.6
0.341115 1145.92 11496.7
0.34472 1145.92 11834.9
0.314637 1145.92 12173
0.312368 1145.92 12511.1
0.317315 1145.92 12849.3
